iso3,year,var,value
ARG,2021,ppp_conv_gdp_lcu_per_intl$,38.783332824707
ARG,2021,unemployment_total_pct,8.736
ARG,2022,gdp_pc_ppp_const2021,27627.9634764636
ARG,2022,gdp_pc_ppp_current,29597.6938429263
ARG,2022,gini,40.7
ARG,2022,inflation_cpi_annual_pct,72.430757531824
ARG,2022,ppp_conv_gdp_lcu_per_intl$,61.4990445368971
ARG,2022,unemployment_total_pct,6.805
ARG,2023,gdp_pc_ppp_const2021,27104.9799978169
ARG,2023,gdp_pc_ppp_current,30082.3045247325
ARG,2023,gini,42.4
ARG,2023,inflation_cpi_annual_pct,133.488935594175
ARG,2023,ppp_conv_gdp_lcu_per_intl$,139.721870365666
ARG,2023,unemployment_total_pct,6.139
ARG,2024,gdp_pc_ppp_const2021,26547.0503429365
ARG,2024,gdp_pc_ppp_current,30175.5359656699
ARG,2024,gini,42.4
ARG,2024,inflation_cpi_annual_pct,219.883929014578
ARG,2024,ppp_conv_gdp_lcu_per_intl$,420.076325493645
ARG,2024,unemployment_total_pct,7.876
ARM,2019,gdp_pc_ppp_const2021,16215.3607965094
ARM,2019,gdp_pc_ppp_current,14975.7539538157
ARM,2019,gini,30.0
ARM,2019,inflation_cpi_annual_pct,1.44344660770699
ARM,2019,ppp_conv_gdp_lcu_per_intl$,147.486145019531
ARM,2019,unemployment_total_pct,18.304
ARM,2020,gdp_pc_ppp_const2021,15052.9359791136
ARM,2020,gdp_pc_ppp_current,14706.3173043422
ARM,2020,gini,25.1
ARM,2020,inflation_cpi_annual_pct,1.2114357783847
ARM,2020,ppp_conv_gdp_lcu_per_intl$,141.940551757813
ARM,2020,unemployment_total_pct,18.175
ARM,2021,gdp_pc_ppp_const2021,15921.705281964
ARM,2021,gdp_pc_ppp_current,15921.705281964
ARM,2021,gini,27.9
ARM,2021,inflation_cpi_annual_pct,7.18483629443367
ARM,2021,ppp_conv_gdp_lcu_per_intl$,148.241226196289
ARM,2021,unemployment_total_pct,15.469
ARM,2022,gdp_pc_ppp_const2021,17886.1783877168
ARM,2022,gdp_pc_ppp_current,19161.3700514189
ARM,2022,gini,27.9
ARM,2022,inflation_cpi_annual_pct,8.64091108973852
ARM,2022,ppp_conv_gdp_lcu_per_intl$,149.426272929493
ARM,2022,unemployment_total_pct,13.379
ARM,2023,gdp_pc_ppp_const2021,19402.7510915578
ARM,2023,gdp_pc_ppp_current,21534.0305361169
ARM,2023,gini,27.2
ARM,2023,inflation_cpi_annual_pct,1.98041877615558
ARM,2023,ppp_conv_gdp_lcu_per_intl$,148.091529707209
ARM,2023,unemployment_total_pct,13.245
ARM,2024,gdp_pc_ppp_const2021,20078.7848984844
ARM,2024,gdp_pc_ppp_current,22823.1795255692
ARM,2024,inflation_cpi_annual_pct,0.269511978259078
ARM,2024,ppp_conv_gdp_lcu_per_intl$,146.274215922544
ARM,2024,unemployment_total_pct,13.329
ATG,2019,gdp_pc_ppp_const2021,29651.8641526705
ATG,2019,gdp_pc_ppp_current,26550.589844733
ATG,2019,inflation_cpi_annual_pct,1.43135598182988
ATG,2019,ppp_conv_gdp_lcu_per_intl$,1.92162227630615
ATG,2020,gdp_pc_ppp_const2021,23930.6714995115
ATG,2020,gdp_pc_ppp_current,22370.0918693813
ATG,2020,inflation_cpi_annual_pct,0.625989707046714
ATG,2020,ppp_conv_gdp_lcu_per_intl$,1.85506355762482
ATG,2021,gdp_pc_ppp_const2021,25745.4958067746
ATG,2021,gdp_pc_ppp_current,25745.4958067746
ATG,2021,inflation_cpi_annual_pct,2.06299638545329
ATG,2021,ppp_conv_gdp_lcu_per_intl$,1.81939482688904
ATG,2022,gdp_pc_ppp_const2021,27941.7851474762
ATG,2022,gdp_pc_ppp_current,29933.8893698902
ATG,2022,inflation_cpi_annual_pct,7.53107834634287
ATG,2022,ppp_conv_gdp_lcu_per_intl$,1.81346421048771
ATG,2023,gdp_pc_ppp_const2021,28474.0444178181
ATG,2023,gdp_pc_ppp_current,31601.7527146877
ATG,2023,inflation_cpi_annual_pct,5.06713865364216
ATG,2023,ppp_conv_gdp_lcu_per_intl$,1.83645756943168
ATG,2024,gdp_pc_ppp_const2021,29561.807425139
ATG,2024,gdp_pc_ppp_current,33602.3539957929
ATG,2024,inflation_cpi_annual_pct,6.19886698842119
ATG,2024,ppp_conv_gdp_lcu_per_intl$,1.90640316490645
AUS,2019,gdp_pc_ppp_const2021,57837.0606876407
AUS,2019,gdp_pc_ppp_current,52673.0638176231
AUS,2019,inflation_cpi_annual_pct,1.6107678729038
AUS,2019,ppp_conv_gdp_lcu_per_intl$,1.459253
AUS,2019,unemployment_total_pct,5.159
AUS,2020,gdp_pc_ppp_const2021,57059.7436441324
AUS,2020,gdp_pc_ppp_current,53984.1246979075
AUS,2020,gini,33.8
AUS,2020,inflation_cpi_annual_pct,0.846905537459283
AUS,2020,ppp_conv_gdp_lcu_per_intl$,1.431163
AUS,2020,unemployment_total_pct,6.456
AUS,2021,gdp_pc_ppp_const2021,58182.3369477501
AUS,2021,gdp_pc_ppp_current,58182.3369477501
AUS,2021,inflation_cpi_annual_pct,2.86391042204996
AUS,2021,ppp_conv_gdp_lcu_per_intl$,1.395724
AUS,2021,unemployment_total_pct,5.116
AUS,2022,gdp_pc_ppp_const2021,59883.6470356073
AUS,2022,gdp_pc_ppp_current,65871.7715157769
AUS,2022,inflation_cpi_annual_pct,6.59409671341846
AUS,2022,ppp_conv_gdp_lcu_per_intl$,1.359891
AUS,2022,unemployment_total_pct,3.728
AUS,2023,gdp_pc_ppp_const2021,60461.1563966999
AUS,2023,gdp_pc_ppp_current,70513.4748706981
AUS,2023,inflation_cpi_annual_pct,5.59701492537313
AUS,2023,ppp_conv_gdp_lcu_per_intl$,1.366149
AUS,2023,unemployment_total_pct,3.668
AUS,2024,gdp_pc_ppp_const2021,60082.005786975
AUS,2024,gdp_pc_ppp_current,71193.2158509788
AUS,2024,inflation_cpi_annual_pct,3.16161428305747
AUS,2024,ppp_conv_gdp_lcu_per_intl$,1.379937
AUS,2024,unemployment_total_pct,4.072
AUT,2019,gdp_pc_ppp_const2021,64688.1438223164
AUT,2019,gdp_pc_ppp_current,60354.9279422121
AUT,2019,gini,30.2
AUT,2019,inflation_cpi_annual_pct,1.53089564152644
AUT,2019,ppp_conv_gdp_lcu_per_intl$,0.738332
AUT,2019,unemployment_total_pct,4.56
AUT,2020,gdp_pc_ppp_const2021,60349.9022781104
AUT,2020,gdp_pc_ppp_current,58523.0337816246
AUT,2020,gini,29.8
AUT,2020,inflation_cpi_annual_pct,1.38191063351859
AUT,2020,ppp_conv_gdp_lcu_per_intl$,0.728799
AUT,2020,unemployment_total_pct,5.201
AUT,2021,gdp_pc_ppp_const2021,62968.9422311892
